videoID,caption,url,start,end,duration_sec,out_path
_9XcuRJNzR8_5,"a person interacting with a smartphone case, specifically a purple case with a checkered pattern. The person picks up the phone, examines it closely, and then places it back down. the interaction between the person's hands and the phone case, highlighting the texture and design of the case. The background is a plain, dark surface, likely a table or countertop, which provides a contrasting backdrop to the vibrant purple case. There are no additional objects or elements in the background, keeping the focus on the interaction between the hands and the phone case. The main objects in the video are a smartphone and its purple case with a checkered pattern. The person's hands are also prominent, with one hand holding the phone and the other hand interacting with the case. The phone is black and is held securely by the person's fingers. The person's hands are positioned around the phone, with the fingers gently touching the case. The camera is stationary, providing a close-up view of the interaction between the hands and the phone case. The view is steady and focused, capturing the details of the case and the person's hands.",https://www.youtube.com/watch?v=_9XcuRJNzR8,87.387,113.947,26.560000000000002,koala/videos/_9XcuRJNzR8_5.mp4
SdzHGX-VdGs_18,"A group of soccer players is engaged in a training session on an outdoor field. The players are wearing blue and yellow uniforms, and they are actively participating in drills and exercises. The scene captures various moments of the players interacting with the soccer ball, demonstrating agility, coordination, and teamwork. The background includes a brick wall with advertisements and a goalpost, indicating a professional or semi-professional soccer field. The main subjects are the soccer players, who are actively engaged in the training session. They are wearing blue and yellow uniforms, with some players wearing yellow vests. The players are positioned across the field, with some in the foreground and others in the background. They are interacting with the soccer ball, passing it to each other, and performing various drills. The players' movements are dynamic, with quick changes in direction and speed as they maneuver around the field. The background features a brick wall with various advertisements, including a prominent ""FORBES"" sign. There is also a goalpost visible, indicating the presence of a soccer goal. The field is well-maintained with white markings, and the weather appears to be clear and sunny, suggesting it is daytime. The scene is set in an outdoor soccer field, likely a professional or semi-professional venue. The camera is stationary, providing a wide-angle view of the entire field and capturing the players' movements and interactions. The perspective is at a medium height, allowing for a clear view of the players and the field.",https://www.youtube.com/watch?v=SdzHGX-VdGs,186.233,217.833,31.599999999999994,koala/videos/SdzHGX-VdGs_18.mp4
KAxVDurQoGo_0,"A small black and tan dog is being trained by two men in an indoor setting. The dog is wearing a pink collar and is initially seen standing on a blue mat. The men, one wearing a green shirt and the other in a gray shirt, are holding the dog on a leash and using a frisbee to engage the dog. The dog is initially hesitant but eventually becomes more active and playful, interacting with the frisbee and the men. The main subject is a small black and tan dog with a pink collar. The dog is initially standing on a blue mat, then it is lifted and moved around by the two men. The men are wearing casual clothing; one is in a green shirt and the other in a gray shirt. They are holding the dog on a leash and using a frisbee to interact with the dog. The dog's movements include standing on the mat, being lifted by the men, and interacting with the frisbee. The men's movements include lifting the dog, holding the frisbee, and guiding the dog's actions. The dog's movements are moderate in amplitude, primarily vertical and horizontal as it is lifted and moved around. The background remains static throughout the video. The camera is stationary, providing a medium shot that captures the dog, the men, and the immediate surroundings. The view is at eye level, focusing on the interaction between the dog and the men.",https://www.youtube.com/watch?v=KAxVDurQoGo,0.934,97.39699999999999,96.463,koala/videos/KAxVDurQoGo_0.mp4
GROizk0Z4U4_6,"a thrilling horse race taking place at night on a dirt track. Jockeys, clad in colorful silks, are riding their horses at full speed, competing fiercely. The jockeys are wearing helmets and are focused on the race, leaning forward as they gallop. The atmosphere is intense, with the jockeys and horses moving rapidly across the track, kicking up dust as they go. The background features a dirt track with white fencing on either side. There are several advertisements and sponsor signs, including one for QUANTEL and another for QUANTEL. The track is illuminated by bright lights, and the surrounding area includes some greenery and a few vehicles parked nearby. The weather appears to be clear, and the scene is set at night, with the track well-lit. The main subjects are the jockeys and their horses. The jockeys are wearing colorful silks, helmets, and riding boots. They are positioned closely together, leaning forward as they race. The horses are muscular and powerful, with their heads held high and ears perked up, indicating their speed and focus. The jockeys and horses are moving rapidly across the track, with the horses' hooves kicking up dust. The camera is stationary, capturing the entire scene from a wide-angle view, allowing the viewer to see the entire race and the jockeys' positions relative to each other and the track.",https://www.youtube.com/watch?v=GROizk0Z4U4,88.799,113.75999999999999,24.960999999999984,koala/videos/GROizk0Z4U4_6.mp4
RaX4ol7cVmo_12,"a bustling street scene in a tropical city, featuring a variety of vehicles and pedestrians. The setting is lively with a mix of people walking, riding motorcycles, and driving auto-rickshaws. The street is lined with palm trees and a large, modern building with a distinctive roof structure in the background. The atmosphere is vibrant, with a sense of daily life and movement. The main subjects are the vehicles and people on the street. There are several auto-rickshaws, each with a unique color scheme, driving and parked along the road. A few motorcycles and cars are also present, with riders and drivers navigating the busy street. Pedestrians, including men and women, are walking along the sidewalks, some carrying bags or backpacks. The interactions between the vehicles and pedestrians are dynamic, with people crossing the street and vehicles moving in different directions. The background features a tropical cityscape with palm trees and a large, modern building with a distinctive, curved roof structure. The building appears to be a commercial or public space, possibly a market or a transportation hub. The street is lined with greenery, including bushes and small trees, adding to the tropical ambiance. The weather is clear, suggesting a sunny day, and the scene is set in an urban area with a mix of natural and man-made elements. The camera is stationary, providing a wide-angle view of the street scene. The perspective is from a slightly elevated angle, capturing the entire street and the surrounding environment.",https://www.youtube.com/watch?v=RaX4ol7cVmo,252.151,276.209,24.057999999999993,koala/videos/RaX4ol7cVmo_12.mp4
EnMSndwNnKw_4,"a rugby match in progress, focusing on a player in green and white attire who is preparing to kick the ball. The scene transitions to a group of players running onto the field, indicating the start of a play.The key individuals in the video are rugby players, distinguishable by their uniforms which include green jerseys, white shorts, and green socks. They are equipped with rugby boots and are wearing protective gear such as mouthguards. The players exhibit athleticism and teamwork, with one player in particular, wearing a green jersey with the number 6, preparing to kick the ball. As the video progresses, additional players in similar attire join the scene, running onto the field, suggesting a coordinated team effort.The setting is an outdoor rugby field during what appears to be evening or nighttime, as indicated by the artificial lighting. The field is marked with white boundary lines and goalposts, and there are advertisements visible in the background, including one for ""Advance."" The weather seems clear, and the grass is well-maintained, typical of a rugby field.",https://www.youtube.com/watch?v=EnMSndwNnKw,47.24,68.959,21.719,koala/videos/EnMSndwNnKw_4.mp4
_3ZxFg1HYtM_25,"a first-person perspective of a motorcyclist riding down a highway. The rider is wearing a blue helmet and is seen navigating through traffic, including cars and other vehicles. The scene is set on a cloudy day with overcast skies, and the road is mostly empty with a few cars visible ahead. The motorcyclist maintains a steady pace, moving forward along the highway, with the surrounding environment consisting of trees, grass, and occasional roadside structures. The main subject is the motorcyclist, who is wearing a blue helmet and riding a motorcycle. The motorcyclist is positioned in the foreground, with the camera providing a first-person view. The motorcycle's dashboard and handlebars are prominently visible, showing various controls and indicators. The motorcyclist is consistently moving forward, maintaining a steady speed and direction. The background features a highway with multiple lanes, bordered by grassy areas and trees. The road is marked with yellow lines and has visible cracks and patches. The weather is overcast, with a cloudy sky and no visible sunlight. The scene appears to be in a suburban or semi-rural area, with occasional roadside structures and trees lining the sides of the highway. The motorcyclist is moving forward at a steady, moderate speed. The background vehicles, including cars, are also moving in the same direction, maintaining a consistent distance from the motorcyclist. The movement is smooth and continuous, with the motorcyclist and vehicles progressing along the highway. The background elements, such as trees and roadside structures, pass by at a consistent speed, indicating a stable and uninterrupted journey. The camera is mounted on the motorcycle, providing a first-person view of the ride. The camera remains steady, capturing the forward movement and the surrounding environment from the rider's perspective.",https://www.youtube.com/watch?v=_3ZxFg1HYtM,385.384,429.262,43.877999999999986,koala/videos/_3ZxFg1HYtM_25.mp4
IiMXAWw5nTA_16,"A surfer in a pink wetsuit rides a wave on a surfboard, performing various maneuvers and eventually falling off the board into the water. Another person, wearing a black wetsuit, is seen on a green and black jet ski, following the surfer and assisting them after the fall. the dynamic interaction between the surfer and the jet ski, highlighting the excitement and challenges of surfing. The main subjects are a surfer in a pink wetsuit and a jet ski operator in a black wetsuit. The surfer is on a surfboard, skillfully navigating a wave, and eventually falling off. The jet ski operator follows closely behind, providing assistance. The surfer is positioned on the left side of the frame, while the jet ski is on the right side, moving parallel to the surfer. The background consists of a large, rolling ocean wave with white foam, indicating strong waves suitable for surfing. The water is a deep blue, and the sky is not visible, suggesting an overcast or cloudy day. The scene is set on a beach, with the waves crashing onto the shore. The camera is stationary, capturing the scene from a wide-angle view, focusing on the surfer and the jet ski operator as they interact with the wave.",https://www.youtube.com/watch?v=IiMXAWw5nTA,189.789,215.582,25.793000000000006,koala/videos/IiMXAWw5nTA_16.mp4
DVGky8y3FkY_0,"a scene from a video game, specifically from a racing game where a character is navigating through a cityscape filled with various obstacles and vehicles.The main character in the video is a cartoonish, anthropomorphic character with a purple and blue color scheme, wearing a helmet and a red scarf. The character is riding a motorcycle and appears to be in motion, maneuvering through the game's environment. The character's facial expressions and body language suggest a sense of urgency and focus, typical of a racing game scenario.The setting of the video is a stylized, animated city with a variety of structures, including buildings, bridges, and vehicles. The environment is vibrant with a mix of daylight and artificial lighting, giving it a dynamic and lively atmosphere. The cityscape is filled with different elements such as floating platforms, ramps, and other vehicles that the character must navigate around. The overall scene is designed to mimic a bustling urban environment, with a sense of depth and three-dimensionality.",https://www.youtube.com/watch?v=DVGky8y3FkY,0.433,38.705,38.272,koala/videos/DVGky8y3FkY_0.mp4
0F3_MzIaD0U_13,"a dynamic soccer match in progress, showcasing various players in action on a well-maintained grass field. The players are engaged in a competitive game, with some actively running, dribbling, and passing the ball, while others are strategically positioned on the field, ready to intercept or defend. The referee is present, overseeing the game, and the crowd is visible in the background, adding to the atmosphere of the match. The scene is filled with movement and energy, reflecting the intensity and excitement of a live soccer game. The main subjects are the soccer players, who are actively engaged in the game. They are wearing uniforms of different colors, including blue, white, and red. The players are positioned across the field, with some in the foreground actively running and dribbling the ball, while others are in the background, strategically positioned to defend or intercept. The referee is also present, standing near the center of the field, overseeing the game. The players are constantly moving, with some running towards the goal, others defending their positions, and a few attempting to score. The camera is stationary, providing a wide-angle view of the entire field, capturing the entirety of the match and the movements of the players.",https://www.youtube.com/watch?v=0F3_MzIaD0U,183.082,206.906,23.824000000000012,koala/videos/0F3_MzIaD0U_13.mp4
