videoID,url,timestamp,caption,clarity_score,aesthetic_score,motion_score,video_training_suitability_score
sDs58L9pVXM_153,https://www.youtube.com/watch?v=sDs58L9pVXM,"['0:22:35.839', '0:23:01.680']","a group of elephants in a natural setting, possibly a savannah or a forest clearing. The elephants are engaged in various activities such as walking, standing, and interacting with each other. The scene is captured in a greenish-brown tone, giving it a vintage or aged appearance. The elephants are seen in close proximity to each other, suggesting a social or familial group dynamic. The main subjects are the elephants, which are large and grey in color. They are positioned in various parts of the frame, with some standing and others walking. The elephants are interacting with each other, with some touching or nudging each other. The elephants are positioned in a way that suggests a social hierarchy or familial bond, with adults and younger elephants interacting closely. The background consists of a natural environment, likely a savannah or a forest clearing. The ground is covered with dirt and sparse vegetation. There are no visible man-made structures or objects, emphasizing the natural setting. The lighting is natural, suggesting daytime with overcast or diffused sunlight. The camera appears to be stationary or moving very slowly, capturing the scene from a fixed or slightly panning view. The view is at eye level, providing a natural perspective of the elephants and their environment.",0.1171654611825943,3.352725,39.997894287109375,4.612486905825179
HFsSFuqKXFw_80,https://www.youtube.com/watch?v=HFsSFuqKXFw,"['0:12:19.566', '0:12:49.799']","a first-person perspective of a motorcyclist riding down a multi-lane highway. The rider is wearing a black jacket and gloves, and the motorcycle is a red and black model. The scene is set during the day with clear skies, and the road is relatively empty with only a few cars visible in the distance. The rider's view includes the motorcycle's dashboard, side mirrors, and the road ahead. The background consists of a multi-lane highway with clear lane markings. The road is surrounded by greenery, including trees and bushes, and there are occasional billboards and signs visible. The weather is clear with a blue sky, indicating it is likely daytime. The main subject is the motorcycle and the rider. The motorcycle is a red and black model with a digital dashboard and side mirrors. The rider is wearing a black jacket and gloves, and their hands are on the handlebars. The motorcycle is positioned in the center of the frame, with the rider's hands and the dashboard clearly visible. The background includes several cars driving on the highway, with some cars in the distance and others closer to the camera. The camera is mounted on the motorcycle, providing a first-person view. The camera remains steady, capturing the forward view of the road and the dashboard.",0.9622191190719604,4.7208000000000006,26.420162200927734,4.418936694556692
Tm5nQvLZB0Q_3,https://www.youtube.com/watch?v=Tm5nQvLZB0Q,"['0:01:00.600', '0:01:37.680']","A man is seen unloading items from the trunk of a red car parked on a dirt road. He is dressed in a green jacket, blue jeans, and sneakers, and he appears to be in a casual, outdoor setting. The man is actively engaged in the process of unloading various boxes and bags from the trunk, which are filled with items such as a blue cooler, a green box, and other miscellaneous objects. The scene is set in a rural area with a vast, open field visible in the background. The main subject is a man wearing a green jacket, blue jeans, and sneakers. He is actively unloading items from the trunk of a red car. The items include a blue cooler, a green box, and other miscellaneous objects. The man is seen bending over, reaching into the trunk, and pulling out the items. His actions are deliberate and focused on the task at hand. The man's movements are deliberate and focused, involving bending over, reaching into the trunk, and pulling out items. The unloading process is steady and methodical, with the man moving the items from the trunk to the ground. The background remains static, with no significant changes or movements. The camera is stationary, providing a clear and stable view of the man and the car trunk. The camera angle is at a medium shot, capturing the man's actions and the items he is unloading.",0.8473049104213715,4.406000000000001,7.710964202880859,4.087826883231992
DS_PQYIGrTc_2,https://www.youtube.com/watch?v=DS_PQYIGrTc,"['0:00:39.839', '0:02:11.798']","a person drawing a simple cat face on a white sheet of paper using a black marker. The person's hands are the main focus, with the left hand holding the marker and the right hand guiding the marker to draw the cat. the detailed process of drawing the cat's face, including the eyes, nose, and whiskers. The background is a red surface, possibly a table or desk, which contrasts with the white paper and the black marker. The scene is well-lit, highlighting the drawing process clearly. The main objects in the video are the person's hands and the black marker. The left hand holds the marker, while the right hand guides it to draw the cat. The person's hands are positioned over two white sheets of paper, with the left hand slightly overlapping the right hand. The black marker is used to draw the cat's face, which includes the eyes, nose, and whiskers. The camera is stationary, providing a close-up view of the drawing process. The angle is slightly above the paper, capturing the hands and the drawing in detail.",0.9646078199148178,4.92525,8.296876907348633,4.569066169076647
wVO9uAC-GFQ_21,https://www.youtube.com/watch?v=wVO9uAC-GFQ,"['0:04:28.368', '0:04:49.922']","a serene underwater scene featuring a group of dolphins swimming gracefully in the ocean. The footage begins with a close-up view of the dolphins' fins and tails as they move through the water, creating ripples and bubbles. The scene transitions to a wider view of the ocean, showcasing the vast expanse of the water and the sky above, with the sun setting on the horizon, casting a warm glow over the scene. The dolphins continue to swim leisurely, their movements fluid and synchronized, creating a sense of peace and tranquility. The main subjects are a group of dolphins, characterized by their sleek bodies, streamlined fins, and tails. They are swimming in a coordinated manner, with their fins and tails moving in unison. The dolphins are positioned in the foreground initially, with their bodies partially submerged, and then they move further into the water, becoming smaller in the frame. Their movements are smooth and rhythmic, indicating a sense of harmony and grace. The background features a vast, open ocean with gentle waves. The water is a deep blue, and the sky above is painted with hues of orange and pink from the setting sun. The horizon line is visible, separating the ocean from the sky. The scene is set during sunset, with the sun casting a warm, golden light over the water. The dolphins exhibit smooth, coordinated movements, swimming in a straight line with their fins and tails moving in a synchronized manner. The water ripples and bubbles around them, creating a dynamic yet calming effect. The background remains relatively static, with the ocean waves gently moving and the sun slowly setting, adding to the serene atmosphere. The camera appears to be stationary or moving very slowly, capturing the dolphins from a fixed position with a wide-angle view that transitions to a more expansive view of the ocean and sky.",0.7619159072637558,4.383375,44.773704528808594,4.421755398296739
THfmbbo3xEM_2,https://www.youtube.com/watch?v=THfmbbo3xEM,"['0:00:27.697', '0:00:54.762']","a busy intersection during a cloudy day, with multiple vehicles moving through the junction. The scene includes cars, trucks, and a bus, all navigating through the traffic lights and road signs. The traffic is moderately heavy, with vehicles moving in various directions, some stopping at red lights, and others proceeding through the intersection. The overall atmosphere is dynamic, with the vehicles creating a sense of constant motion and activity. The main subjects are the vehicles, including cars, trucks, and a bus. The vehicles are of different sizes and colors, and they are positioned at various points within the intersection. The cars are primarily in the foreground, while the trucks and bus are further back. The vehicles are moving in different directions, with some stopping at red lights and others proceeding through the intersection. The traffic lights are also significant objects, with red lights visible at various points, indicating when vehicles must stop. The background features an urban setting with a mix of greenery and buildings. There are road signs, traffic lights, and a few trees visible. The sky is overcast, suggesting a cloudy day. The scene is set on a multi-lane road with visible road markings and traffic signals. The overall environment is typical of a busy city intersection during daytime. The camera is stationary, providing a wide-angle view of the intersection. The perspective is from a slightly elevated angle, capturing the entire intersection and the movement of vehicles within it.",0.6566370129585266,3.97695,29.89629364013672,4.4213587529885
sZ6NOrxuzLc_249,https://www.youtube.com/watch?v=sZ6NOrxuzLc,"['0:37:04.679', '0:37:29.920']","a series of animated scenes featuring various characters and objects. The scenes include a cat flying a drone, a group of ducks flying in formation, a group of animated cats and a cat with a flower, and a scene with a cat and a traffic light.The characters in the video are animated and include a cat with a striped shirt and a hat, a cat with a yellow dress, a cat with a blue striped shirt, a cat with a purple hat, and a cat with a flower. The ducks are brown with orange beaks and are shown in various positions, some flying and others in different stages of flight. The traffic light is depicted with a red stop signal.The setting of the video is a simplistic, cartoon-like environment with a predominantly light blue background. The sky is depicted with white clouds, and the ground is a solid color. The scenes are framed by a pink border, giving the impression of a window or a frame.",0.9914440959692001,4.428025,8.007244110107422,3.27933596617652
avlSZdcxv1g_2,https://www.youtube.com/watch?v=avlSZdcxv1g,"['0:00:52.452', '0:01:17.977']","a close-up scene of a bee being gently guided into a transparent plastic cup by a human hand. The bee, with its distinctive yellow and black striped body, is initially outside the cup but is carefully moved by the hand until it is fully inside. The background is a plain white surface, emphasizing the interaction between the bee and the hand. The main subjects are a bee and a human hand. The bee has a yellow and black striped body and is initially outside the plastic cup. The human hand, with a light skin tone, is holding the cup and guiding the bee. The bee is positioned near the rim of the cup, and the hand is seen moving the cup to ensure the bee enters it. The bee's wings are slightly flapping as it moves. The background is a plain white surface, likely a table or countertop, with no additional objects or decorations. The simplicity of the background ensures that the focus remains on the bee and the hand. The lighting is bright and even, highlighting the details of the bee and the hand. The camera is stationary, providing a close-up view of the bee and the hand. The focus is sharp, capturing the fine details of the bee and the hand's movements.",0.8549552112817764,4.653975,7.866203784942627,4.46687335128896
CRTohnI729g_41,https://www.youtube.com/watch?v=CRTohnI729g,"['0:08:44.657', '0:09:11.450']","a bustling street scene outside a historic building with a prominent sign that reads ""MAYFLOWER STATION."" People are walking around, engaging in various activities, and a green vintage car is parked nearby. The atmosphere is lively, with individuals dressed in winter clothing, some carrying handbags and backpacks, and others pushing bicycles. The scene is set against a backdrop of a large, ornate building with a decorative archway and Christmas lights, creating a festive and historical ambiance. The main subjects are the people walking around the street. They are dressed in winter clothing, including coats, hats, and scarves. A woman in a red coat and a man in a brown coat are walking together, while another woman in a black coat and a man in a brown coat are also walking. A person in a red hat and a person in a green coat are also present. A green vintage car is parked on the side of the street, and a bicycle is being pushed by a person. The individuals are positioned in various parts of the frame, moving in different directions, creating a dynamic scene. The camera is stationary, capturing a wide-angle view of the street scene, allowing the viewer to observe the activities and interactions of the people in the frame.",0.9705945253372192,4.848025,4.428245544433594,4.476599885658107
Dd4TUynXB2c_42,https://www.youtube.com/watch?v=Dd4TUynXB2c,"['0:07:51.596', '0:08:18.080']","A person is seen engaging in skateboarding activities, performing various maneuvers and interacting with other individuals.The individual is wearing a black hoodie with a white graphic on the front, dark pants, and red sneakers. The person's attire suggests a casual, sporty style. The skateboard is white with black trucks and wheels, and the person appears to be in control and comfortable with the skateboard.The setting is an outdoor area with a concrete surface, possibly a skate park, given the presence of other skateboarders and skateboarding equipment. The environment is daytime with clear skies, and there are trees and a building in the background, indicating an urban or suburban location.",0.879511147737503,4.703825,21.094470977783203,4.531524657057341
